,년도,시도,시군구,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,include,노인보호구역,include2,전통시장
2378,2012,대전광역시,동구,36.3407033,127.4154675,대전광역시 동구 삼성동  주흥광기계 ,3,3,0,2,1,0,1,대전광역시 동구 태전로153번길 36,0,0
2379,2012,대전광역시,동구,36.3288321,127.43393200000001,대전광역시 동구 원동 원동삼거리 ,4,4,1,2,1,0,0,0,1,대전 동구 대전로 797번길 41
2380,2012,대전광역시,동구,36.3407016,127.4262899,대전광역시 동구 삼성동 한신전기상사 ,4,4,2,2,0,0,0,0,0,0
2381,2012,대전광역시,동구,36.333282399999995,127.4319104,대전광역시 동구 중동 명인전자 ,5,5,2,2,1,0,0,0,0,0
2382,2012,대전광역시,동구,36.3208985,127.443955,대전광역시 동구 효동 제2치수교네거리 ,6,7,2,3,2,0,0,0,0,0
2383,2012,대전광역시,중구,36.327884499999996,127.4046291,대전광역시 중구 유천동 동양국제결혼상담소 ,2,2,2,0,0,0,1,대전광역시 중구 계룡로815번길 6,0,0
2384,2012,대전광역시,중구,36.3297614,127.4267063,대전광역시 중구 은행동 - 인근,3,3,0,1,2,0,0,0,0,0
2385,2012,대전광역시,중구,36.3238875,127.39471359999999,대전광역시 중구 태평동 삼부아파트 ,3,3,0,3,0,0,0,0,0,0
2386,2012,대전광역시,서구,36.3225608,127.37685990000001,대전광역시 서구 변동 번동사거리 ,3,3,1,2,0,0,0,0,0,0
2387,2012,대전광역시,대덕구,36.3627159,127.3780753,대전광역시 대덕구 와동 리더스 어학원 ,3,3,0,3,0,0,0,0,0,0
2389,2013,대전광역시,동구,36.316612,127.4748173,대전광역시 동구 판암동 김태명소아과 ,5,5,1,2,2,0,0,0,0,0
2390,2013,대전광역시,동구,36.331071,127.431848,대전광역시 동구 원동 대전역네거리 ,4,4,0,3,0,1,0,0,1,대전 동구 대전로 797번길 41
2391,2013,대전광역시,동구,36.3294155,127.4429588,대전광역시 동구 대동 대동오거리 ,3,3,0,3,0,0,0,0,0,0
2392,2013,대전광역시,동구,36.33666470000001,127.416752,대전광역시 동구 삼성동 삼성사거리 ,3,3,0,2,1,0,1,대전광역시 중구 동서대로1440번길 34,0,0
2393,2013,대전광역시,동구,36.3407473,127.43598700000001,대전광역시 동구 성남동 성남네거리 ,3,3,0,2,1,0,0,0,0,0
2394,2013,대전광역시,중구,36.327352000000005,127.3898465,대전광역시 중구 태평동 가장교 ,3,4,1,2,1,0,0,0,0,0
2395,2013,대전광역시,중구,36.296919700000004,127.4569584,대전광역시 중구 옥계동 교량생성 ,3,3,0,3,0,0,1,대전광역시 중구 모암로7번길 170,0,0
2396,2013,대전광역시,중구,36.3107225,127.395575,대전광역시 중구 문화동 대전일보네거리 ,3,3,0,1,2,0,0,0,0,0
