년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,서울특별시 관악구6,37.4932343,126.9197115,서울특별시 관악구 봉천동 보라매공원 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 관악구7,37.4714901,126.9339487,서울특별시 관악구 신림동 미림여고입구 ,4 ,4 ,0 ,2 ,2 ,0 
2010,서울특별시 관악구8,37.4852453,126.9423969,서울특별시 관악구 봉천동 호림원 보 ,4 ,6 ,0 ,3 ,3 ,0 
2010,서울특별시 관악구9,37.485858,126.929644,서울특별시 관악구 신림동 패션거리입구 ,4 ,7 ,1 ,2 ,4 ,0 
2010,서울특별시 관악구10,37.4837514,126.9549883,서울특별시 관악구 봉천동 관악프라자 ,5 ,5 ,0 ,4 ,1 ,0 
2010,서울특별시 관악구11,37.4865718,126.9465582,서울특별시 관악구 봉천동 봉천10동 보 ,5 ,6 ,1 ,3 ,2 ,0 
2010,서울특별시 송파구1,37.4914638,127.155621,서울특별시 송파구 마천동 양지빌라 ,3 ,3 ,0 ,1 ,2 ,0 
2010,서울특별시 송파구2,37.5015731,127.1222629,서울특별시 송파구 가락동 가락시영2차아파트 ,4 ,5 ,0 ,5 ,0 ,0 
2010,서울특별시 강동구1,37.5375968,127.1402323,서울특별시 강동구 길동 중앙의원 ,3 ,3 ,0 ,1 ,2 ,0 
2010,서울특별시 강동구2,37.5404018,127.1278445,서울특별시 강동구 천호동 천호시장 천호구사거리 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 중구1,35.1061458,129.032342,부산광역시 중구 대청동2가 중구청삼거리 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 중구2,35.0967808,129.0289148,부산광역시 중구 남포동6가 신동아수산물종합시장 ,5 ,7 ,0 ,2 ,5 ,0 
2010,부산광역시 중구3,35.1030904,129.0252594,부산광역시 중구 부평동2가 보수사거리 ,5 ,5 ,0 ,4 ,1 ,0 
2010,부산광역시 서구1,35.1013618,129.0115505,부산광역시 서구 아미동2가 관음사3 ,3 ,3 ,0 ,2 ,1 ,0 
2010,부산광역시 서구2,35.1097283,129.0138159,부산광역시 서구 서대신동1가 오토맨션 ,3 ,3 ,1 ,2 ,0 ,0 
2010,부산광역시 서구3,35.1121345,129.0117735,부산광역시 서구 서대신동3가 부산위생병원 ,4 ,4 ,0 ,2 ,2 ,0 
2010,부산광역시 서구4,35.0897654,129.0224591,부산광역시 서구 충무동1가 남부민초등학교 ,4 ,4 ,0 ,2 ,2 ,0 
2010,부산광역시 서구5,35.098643,129.0213507,부산광역시 서구 충무동1가 충무초등학교입구 ,6 ,11 ,1 ,5 ,5 ,0 
2010,부산광역시 동구1,35.115225,129.042243,부산광역시 동구 초량동 부산역 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 동구2,35.126714,129.045867,부산광역시 동구 수정동 고간입구 ,5 ,5 ,0 ,4 ,0 ,1 
2010,부산광역시 부산진구1,35.163627,129.0325387,부산광역시 부산진구 당감동 개금여자중학교 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 부산진구2,35.1469465,129.0308411,부산광역시 부산진구 가야동 대도운수 ,3 ,12 ,0 ,7 ,5 ,0 
2010,부산광역시 부산진구3,35.1762217,129.0796413,부산광역시 부산진구 양정동 연제구청 ,3 ,3 ,1 ,2 ,0 ,0 
2010,부산광역시 부산진구4,35.1635191,129.0412603,부산광역시 부산진구 당감동 부산기관차승무사업소 ,3 ,6 ,1 ,2 ,3 ,0 
2010,부산광역시 부산진구5,35.1625562,129.0614738,부산광역시 부산진구 부전동 부전시장 ,5 ,5 ,0 ,3 ,0 ,2 
2010,부산광역시 부산진구6,35.1676119,129.0384545,부산광역시 부산진구 당감동 서울약국 ,5 ,5 ,0 ,5 ,0 ,0 
2010,부산광역시 부산진구7,35.1611952,129.0552828,부산광역시 부산진구 부전동 황실장여관 ,7 ,8 ,0 ,2 ,3 ,3 
2010,부산광역시 동래구1,35.2182415,129.0834427,부산광역시 동래구 온천동 온천장사거리 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 동래구2,35.2094675,129.064364,부산광역시 동래구 온천동 미남교 ,3 ,5 ,0 ,3 ,2 ,0 
2010,부산광역시 동래구3,35.1975524,129.0726135,부산광역시 동래구 사직동 대선사거리 ,3 ,3 ,1 ,1 ,1 ,0 
2010,부산광역시 동래구4,35.2028649,129.0800134,부산광역시 동래구 사직동 충렬교 ,4 ,4 ,0 ,3 ,1 ,0 
2010,부산광역시 동래구5,35.2043852,129.0875009,부산광역시 동래구 수안동 복산동새마을금고 ,5 ,5 ,1 ,4 ,0 ,0 
2010,부산광역시 동래구6,35.2212222,129.0854417,부산광역시 동래구 온천동 온천동SK허브스카이 ,9 ,9 ,0 ,5 ,4 ,0 
2010,부산광역시 남구1,35.1164134,129.1094996,부산광역시 남구 용호동 애림어린이집 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 남구2,35.1361987,129.0855307,부산광역시 남구 대연동 남부교육청 ,5 ,5 ,0 ,4 ,0 ,1 
2010,부산광역시 북구1,35.2054931,128.997103,부산광역시 북구 구포동 구포역앞 ,3 ,4 ,0 ,1 ,3 ,0 
2010,부산광역시 해운대구1,35.2225141,129.1533866,부산광역시 해운대구 반송동 필봉1길사거리 ,4 ,4 ,0 ,4 ,0 ,0 
2010,부산광역시 해운대구2,35.172777,129.1775773,부산광역시 해운대구 반여동 좌동구사무소 ,4 ,4 ,0 ,4 ,0 ,0 
2010,부산광역시 해운대구3,35.1625582,129.1662447,부산광역시 해운대구 중동 청풍온천원탕 ,4 ,4 ,1 ,3 ,0 ,0 
2010,부산광역시 사하구1,35.1055787,128.9684786,부산광역시 사하구 하단동 주노빌딩 ,3 ,3 ,0 ,3 ,0 ,0 
2010,부산광역시 사하구2,35.0832749,128.96808,부산광역시 사하구 장림동 장님삼거리 ,3 ,3 ,0 ,3 ,0 ,0 
